time,flag_id,flag_x,flag_y,flag_z,o_x,o_y,o_z,target_dir_x,target_dir_y,target_dir_z,gaze_dir_x,gaze_dir_y,gaze_dir_z,err_deg
1.10553,-1,NaN,NaN,NaN,0.001689035,2.996258,-0.009757891,NaN,NaN,NaN,0.06221856,-0.09576887,0.9934572,NaN
1.122742,-1,NaN,NaN,NaN,0.001495499,2.996258,-0.009757891,NaN,NaN,NaN,0.06221856,-0.09576887,0.9934572,NaN
1.140259,-1,NaN,NaN,NaN,0.001169007,2.996211,-0.009558991,NaN,NaN,NaN,0.06329174,-0.09518518,0.9934455,NaN
1.161499,-1,NaN,NaN,NaN,0.0006251819,2.996257,-0.009263664,NaN,NaN,NaN,0.05988754,-0.09581503,0.993596,NaN
1.17926,-1,NaN,NaN,NaN,0.0003790446,2.996257,-0.009263664,NaN,NaN,NaN,0.05988754,-0.09581503,0.993596,NaN
1.196533,-1,NaN,NaN,NaN,0.0002628118,2.996271,-0.008999735,NaN,NaN,NaN,0.0576122,-0.09461512,0.9938455,NaN
1.220825,-1,NaN,NaN,NaN,0.0009041727,2.996271,-0.008999735,NaN,NaN,NaN,0.0576122,-0.09461512,0.9938455,NaN
1.238403,-1,NaN,NaN,NaN,0.001235563,2.996296,-0.008792028,NaN,NaN,NaN,0.0349233,-0.09437902,0.9949236,NaN
1.262634,-1,NaN,NaN,NaN,0.001339126,2.996319,-0.008425713,NaN,NaN,NaN,0.03164864,-0.0931709,0.995147,NaN
1.280029,-1,NaN,NaN,NaN,0.001298521,2.996319,-0.008425713,NaN,NaN,NaN,0.03164864,-0.0931709,0.995147,NaN
1.304504,-1,NaN,NaN,NaN,0.001019198,2.996326,-0.007892951,NaN,NaN,NaN,0.03107016,-0.09273098,0.9952064,NaN
1.322083,-1,NaN,NaN,NaN,0.001439754,2.996326,-0.007892951,NaN,NaN,NaN,0.03107016,-0.09273098,0.9952064,NaN
1.34613,-1,NaN,NaN,NaN,0.002351802,2.996325,-0.007225379,NaN,NaN,NaN,0.03025415,-0.09329587,0.9951786,NaN
1.363586,-1,NaN,NaN,NaN,0.002798956,2.996301,-0.006523281,NaN,NaN,NaN,0.03290694,-0.09524312,0.99491,NaN
1.387939,-1,NaN,NaN,NaN,0.004010167,2.996301,-0.006523281,NaN,NaN,NaN,0.03290694,-0.09524312,0.99491,NaN
1.405334,-1,NaN,NaN,NaN,0.004656203,2.996334,-0.005734369,NaN,NaN,NaN,0.03832671,-0.09370641,0.9948618,NaN
1.429626,-1,NaN,NaN,NaN,0.005719379,2.99637,-0.004878774,NaN,NaN,NaN,0.03969244,-0.09402663,0.9947782,NaN
1.447144,-1,NaN,NaN,NaN,0.006135851,2.99637,-0.004878774,NaN,NaN,NaN,0.03969244,-0.09402663,0.9947782,NaN
1.471497,-1,NaN,NaN,NaN,0.007437702,2.996406,-0.004024655,NaN,NaN,NaN,0.04341562,-0.08411391,0.9955099,NaN
1.488892,-1,NaN,NaN,NaN,0.008176815,2.996406,-0.004024655,NaN,NaN,NaN,0.04341562,-0.08411391,0.9955099,NaN
1.513245,-1,NaN,NaN,NaN,0.00933519,2.996413,-0.003137812,NaN,NaN,NaN,0.04351201,-0.08143818,0.9957281,NaN
1.53064,-1,NaN,NaN,NaN,0.01011724,2.99639,-0.002186283,NaN,NaN,NaN,0.0416559,-0.08179592,0.9957782,NaN
1.554993,-1,NaN,NaN,NaN,0.01154553,2.99639,-0.002186283,NaN,NaN,NaN,0.0416559,-0.08179592,0.9957782,NaN
1.572266,-1,NaN,NaN,NaN,0.01201188,2.996379,-0.001180083,NaN,NaN,NaN,0.04092717,-0.08216121,0.9957783,NaN
1.5896,-1,NaN,NaN,NaN,0.01269501,2.996379,-0.001180083,NaN,NaN,NaN,0.04092717,-0.08216121,0.9957783,NaN
1.610718,-1,NaN,NaN,NaN,0.01460385,2.996331,-0.0002232939,NaN,NaN,NaN,0.04149275,-0.07955244,0.9959667,NaN
1.628113,-1,NaN,NaN,NaN,0.01576579,2.99627,0.0007098913,NaN,NaN,NaN,0.04204902,-0.07919929,0.9959716,NaN
1.652466,-1,NaN,NaN,NaN,0.01687936,2.99627,0.0007098913,NaN,NaN,NaN,0.04204902,-0.07919929,0.9959716,NaN
1.669983,-1,NaN,NaN,NaN,0.01770873,2.996218,0.001667693,NaN,NaN,NaN,0.03992476,-0.08070954,0.9959377,NaN
1.694214,-1,NaN,NaN,NaN,0.01875441,2.996179,0.002594084,NaN,NaN,NaN,0.04078252,-0.08152986,0.9958361,NaN
1.711548,-1,NaN,NaN,NaN,0.01927469,2.996179,0.002594084,NaN,NaN,NaN,0.04078252,-0.08152986,0.9958361,NaN
1.728516,-1,NaN,NaN,NaN,0.01956585,2.996179,0.002594084,NaN,NaN,NaN,0.04078252,-0.08152986,0.9958361,NaN
1.749878,-1,NaN,NaN,NaN,0.02038098,2.996166,0.003469944,NaN,NaN,NaN,0.03743824,-0.08573245,0.9956146,NaN
1.767151,-1,NaN,NaN,NaN,0.02158875,2.996133,0.004427105,NaN,NaN,NaN,0.02894391,-0.09712096,0.9948516,NaN
1.784058,-1,NaN,NaN,NaN,0.02291715,2.996133,0.004427105,NaN,NaN,NaN,0.02894391,-0.09712096,0.9948516,NaN
1.805725,-1,NaN,NaN,NaN,0.02419713,2.996064,0.005371064,NaN,NaN,NaN,0.02945248,-0.09801148,0.9947494,NaN
1.823059,-1,NaN,NaN,NaN,0.02441586,2.996064,0.005371064,NaN,NaN,NaN,0.02945248,-0.09801148,0.9947494,NaN
1.839661,-1,NaN,NaN,NaN,0.02551613,2.996008,0.006330624,NaN,NaN,NaN,0.03118641,-0.09104362,0.9953585,NaN
1.861328,-1,NaN,NaN,NaN,0.02717543,2.99599,0.007294253,NaN,NaN,NaN,0.03118666,-0.09223117,0.9952492,NaN
1.878662,-1,NaN,NaN,NaN,0.02759439,2.99599,0.007294253,NaN,NaN,NaN,0.03118666,-0.09223117,0.9952492,NaN
1.895325,-1,NaN,NaN,NaN,0.02812628,2.996005,0.008272126,NaN,NaN,NaN,0.03071304,-0.09229272,0.9952582,NaN
1.917114,-1,NaN,NaN,NaN,0.02902026,2.996005,0.008272126,NaN,NaN,NaN,0.03071304,-0.09229272,0.9952582,NaN
1.934082,-1,NaN,NaN,NaN,0.02977792,2.996085,0.009253487,NaN,NaN,NaN,0.03031036,-0.09413404,0.9950981,NaN
1.950867,-1,NaN,NaN,NaN,0.03038926,2.996085,0.009253487,NaN,NaN,NaN,0.03031036,-0.09413404,0.9950981,NaN
1.972717,-1,NaN,NaN,NaN,0.03134491,2.99623,0.01018445,NaN,NaN,NaN,0.03034713,-0.09692728,0.9948287,NaN
1.98999,-1,NaN,NaN,NaN,0.03246078,2.99623,0.01018445,NaN,NaN,NaN,0.03034713,-0.09692728,0.9948287,NaN
